,2019-12-01,2019-12-15,2019-12-29,2020-01-12,2020-01-26,2020-02-09,2020-02-23,2020-03-08,2020-03-22,2020-04-05,2020-04-19,2020-05-03,2020-05-17,2020-05-31,2020-06-14,2020-06-28,2020-07-12,2020-07-26,2020-08-09,2020-08-23,2020-09-06,2020-09-20,2020-10-04,2020-10-18,2020-11-01,2020-11-15,2020-11-29,2020-12-13,2020-12-27,2021-01-10,2021-01-24,2021-02-07,2021-02-21,2021-03-07,2021-03-21,2021-04-04,2021-04-18,2021-05-02,2021-05-16,2021-05-30,2021-06-13,2021-06-27,2021-07-11,2021-07-25,2021-08-08,2021-08-22,2021-09-05,2021-09-19,2021-10-03,2021-10-17,2021-10-31,2021-11-14,2021-11-28,2021-12-12,2021-12-26,2022-01-09,2022-01-23,2022-02-06,2022-02-20,2022-03-06,2022-03-20,2022-04-03
Europe / Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0649,0.0885,0.0943,0.11230000000000001,0.1433,0.1623,0.17579999999999998,0.1946,0.2389,0.3864,0.4446,0.4656,0.4907,0.5402,0.5827,0.6194,0.6354,0.6451,0.6513,0.6564,0.6609,0.6646,0.6679,0.6714,0.6742,0.6759999999999999,0.6776000000000001,0.6786,0.6790999999999999,0.6795
Europe / Lithuania / Vilniaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0088,0.022099999999999998,0.029500000000000002,0.045700000000000005,0.079,0.1033,0.1459,0.2115,0.259,0.32409999999999994,0.37729999999999997,0.436,0.4568,0.47509999999999997,0.5031,0.5542,0.5985,0.6235,0.6394,0.6518,0.6618999999999999,0.6737000000000001,0.6837000000000001,0.6938,0.7029000000000001,0.71,0.7167,0.7208,0.7227,0.7232999999999999,0.7238,0.7241,0.7245
North America / USA / Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058499999999999996,0.0947,0.1548,0.2032,0.2639,0.33020000000000005,0.3807,0.4121,0.4304,0.4523,0.46549999999999997,0.4757,0.4826,0.4893,0.5018,0.5139,0.5264333333333333,0.5396,0.5496,0.5598,0.569,0.5809000000000001,0.59636,0.609,0.61805,0.6242,0.6342,0.6396999999999999,0.6437,0.6456999999999999,0.6472,0.649
Europe / Germany / Saxony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.008100000000000001,0.0195,0.0279,0.04,0.0632,0.092,0.1274,0.1993,0.2848,0.3734,0.43320000000000003,0.48950000000000005,0.5471,0.5936,0.6167,0.6314,0.6476000000000001,0.6640999999999999,0.6770999999999999,0.6867,0.6933,0.6989,0.7051999999999999,0.7178,0.7312000000000001,0.743,0.7502,0.758,0.7626000000000001,0.7648,0.7662,0.7673000000000001,0.768
Asia / Japan / Osaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667e-05,0.0005333333333333334,0.004733333333333333,0.007466666666666667,0.009899999999999999,0.0269,0.043899999999999995,0.0951,0.17190000000000003,0.2473,0.3259,0.38409999999999994,0.47005,0.5278,0.592325,0.66535,0.7162999999999999,0.7565000000000001,0.7781999999999999,0.7873,0.7912,0.7939,0.7957,0.8018538461538461,0.8039000000000001,0.8046,0.8061,0.8076000000000001,0.810225,0.8140999999999999
Europe / Sweden / Skane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.021,0.0311,0.0421,0.0664,0.0955,0.1272,0.1918,0.26789999999999997,0.32899999999999996,0.3728,0.42060000000000003,0.4789,0.5575,0.6154999999999999,0.64,0.664,0.6801999999999999,0.6922,0.7,0.7109000000000001,0.7256,0.7315999999999999,0.7403,0.7495999999999999,0.7555,0.7582,0.7629,0.7653,0.7666,0.7674,0.768,0.7684000000000001
Europe / Germany / Saxony Anhalt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.008100000000000001,0.0195,0.0279,0.04,0.0632,0.092,0.1274,0.1993,0.2848,0.3734,0.43320000000000003,0.48950000000000005,0.5471,0.5936,0.6167,0.6314,0.6476000000000001,0.6640999999999999,0.6770999999999999,0.6867,0.6933,0.6989,0.7051999999999999,0.7178,0.7312000000000001,0.743,0.7502,0.758,0.7626000000000001,0.7648,0.7662,0.7673000000000001,0.768
Europe / France / Grand Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0169,0.0305,0.0405,0.061200000000000004,0.0962,0.1432,0.1923,0.242,0.3096,0.38630000000000003,0.45840000000000003,0.5047999999999999,0.5411,0.6015,0.6720999999999999,0.7116,0.7352,0.7486,0.7565000000000001,0.763,0.768,0.7720999999999999,0.7768999999999999,0.7811,0.7859999999999999,0.7927,0.7994,0.8024,0.804,0.8047,0.8051,0.8054000000000001
North America / USA / Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512,0.0787,0.1292,0.2163,0.2887,0.35159999999999997,0.4485,0.5329,0.5678,0.6084,0.6274000000000001,0.6435,0.654,0.6653,0.6844,0.7045,0.7232999999999999,0.7408,0.7556999999999999,0.7683,0.7820999999999999,0.8029999999999999,0.8284999999999999,0.8567,0.88045,0.9057,0.9377,0.9501999999999999,0.9596666666666667,0.9662000000000001,0.9709,0.9754
North America / USA / Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0626,0.09269999999999999,0.12564999999999998,0.1595,0.2271,0.2771,0.3095,0.3225,0.34,0.3574,0.3685,0.37920000000000004,0.3922,0.4097,0.4481,0.48229999999999995,0.5006666666666666,0.5108,0.5196000000000001,0.5279,0.539,0.5461,0.5549999999999999,0.5644,0.571875,0.5809000000000001,0.5922999999999999,0.5972999999999999,0.6002666666666667,0.6025,0.6056,0.6073
North America / USA / Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0601,0.0947,0.1268,0.18969999999999998,0.2683,0.3319,0.3874,0.41450000000000004,0.4354,0.4636,0.47840000000000005,0.4929,0.5023,0.5136999999999999,0.5341,0.5575,0.5722827586206897,0.5725724137931035,0.5728620689655173,0.573151724137931,0.575,0.5872999999999999,0.6014999999999999,0.6144,0.6224000000000001,0.6308,0.6434000000000001,0.648,0.6517666666666667,0.654,0.6564,0.6583
North America / USA / North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0934,0.1298,0.1721,0.2487,0.30870000000000003,0.36310000000000003,0.39640000000000003,0.4129,0.4335,0.44194999999999995,0.4512,0.4939,0.5053,0.5238,0.5435,0.5652333333333334,0.5836,0.6023,0.6212,0.6437999999999999,0.6694,0.6985399999999999,0.73,0.7578,0.7811,0.8031,0.8137000000000001,0.8200666666666666,0.8251000000000001,0.8286,0.8321
North America / USA / Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436,0.0766,0.1157,0.1484,0.1975,0.2534,0.30210000000000004,0.32659999999999995,0.3467,0.3602,0.36920000000000003,0.396,0.4065,0.4199,0.45030000000000003,0.47850000000000004,0.5053666666666667,0.5186999999999999,0.5287,0.5363,0.5453,0.5537,0.56394,0.5752,0.5827749999999999,0.5915,0.6089,0.6139,0.6174666666666666,0.6199,0.6217,0.6232
Europe / Spain / Castilla Y Leon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077666666666666665,0.0246,0.0282,0.0405,0.0712,0.089525,0.12405000000000001,0.19886666666666666,0.2609,0.32780000000000004,0.3858,0.4594,0.5304,0.5989,0.6595,0.715,0.763,0.7877,0.8016,0.8070999999999999,0.8106,0.8138666666666667,0.8164,0.8193,0.8239,0.8453,0.8575,0.8729,0.8762000000000001,0.8776799999999999,0.8789428571428571,0.8797857142857143,0.8805714285714286
Europe / Germany / Rhineland Palatinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.008100000000000001,0.0195,0.0279,0.04,0.0632,0.092,0.1274,0.1993,0.2848,0.3734,0.43320000000000003,0.48950000000000005,0.5471,0.5936,0.6167,0.6314,0.6476000000000001,0.6640999999999999,0.6770999999999999,0.6867,0.6933,0.6989,0.7051999999999999,0.7178,0.7312000000000001,0.743,0.7502,0.758,0.7626000000000001,0.7648,0.7662,0.7673000000000001,0.768
North America / USA / North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0737,0.11220000000000001,0.16394999999999998,0.2236,0.2873,0.34509999999999996,0.3796,0.3946,0.4064,0.42200000000000004,0.42979999999999996,0.43770000000000003,0.4439,0.4506,0.4619,0.4747,0.48836666666666667,0.5027,0.513,0.5236,0.5329,0.5638000000000001,0.57792,0.61,0.619675,0.6275999999999999,0.6375,0.6413,0.6437999999999999,0.6451,0.6459,0.6468
North America / USA / Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0969,0.1548,0.1917,0.2327,0.2905,0.322,0.341,0.35350000000000004,0.3704,0.3815,0.39030000000000004,0.4028,0.4117,0.4236,0.4411,0.45966666666666667,0.4754,0.48560000000000003,0.4979,0.5085000000000001,0.5211,0.5347999999999999,0.5465,0.55585,0.5637,0.5690999999999999,0.5746,0.5786333333333333,0.5808,0.5824,0.5843
North America / Mexico / Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0006,0.0046,0.0049,0.0095,0.0169,0.037599999999999995,0.0608,0.0864,0.0969,0.1186,0.1661,0.20149999999999998,0.2309,0.2716,0.32380000000000003,0.3882,0.43200000000000005,0.4522,0.47659999999999997,0.49275,0.5217,0.5728,0.5791,0.5881000000000001,0.6171,0.62885,0.6325999999999999,0.6396999999999999,0.644,0.6528,0.6551,0.6566,0.6572666666666667
Europe / France / Hauts De France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0169,0.0305,0.0405,0.061200000000000004,0.0962,0.1432,0.1923,0.242,0.3096,0.38630000000000003,0.45840000000000003,0.5047999999999999,0.5411,0.6015,0.6720999999999999,0.7116,0.7352,0.7486,0.7565000000000001,0.763,0.768,0.7720999999999999,0.7768999999999999,0.7811,0.7859999999999999,0.7927,0.7994,0.8024,0.804,0.8047,0.8051,0.8054000000000001
Asia / Japan / Fukuoka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667e-05,0.0005333333333333334,0.004733333333333333,0.007466666666666667,0.009899999999999999,0.0269,0.043899999999999995,0.0951,0.17190000000000003,0.2473,0.3259,0.38409999999999994,0.47005,0.5278,0.592325,0.66535,0.7162999999999999,0.7565000000000001,0.7781999999999999,0.7873,0.7912,0.7939,0.7957,0.8018538461538461,0.8039000000000001,0.8046,0.8061,0.8076000000000001,0.810225,0.8140999999999999
Europe / Denmark / Midtjylland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0177,0.027999999999999997,0.0302,0.050499999999999996,0.0872,0.10339999999999999,0.12710000000000002,0.1776,0.22820000000000001,0.2791,0.35969999999999996,0.462,0.5523,0.6291,0.6984,0.7311,0.746,0.7548,0.759,0.7617,0.7639,0.7666,0.7733,0.7809,0.8001999999999999,0.82,0.8271999999999999,0.8301000000000001,0.8309000000000001,0.8312,0.8314,0.8315,0.8317
North America / USA / Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056799999999999996,0.08449999999999999,0.12979999999999997,0.1841,0.2572,0.3293,0.40380000000000005,0.434,0.4549,0.4824,0.4965,0.5136,0.5212,0.5328,0.5483,0.5659000000000001,0.5787,0.5871,0.595,0.6021,0.6099,0.6225,0.63716,0.6515000000000001,0.659875,0.6701,0.6831,0.6888,0.6923333333333334,0.6945,0.6960999999999999,0.6995
Europe / Denmark / Syddanmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0177,0.027999999999999997,0.0302,0.050499999999999996,0.0872,0.10339999999999999,0.12710000000000002,0.1776,0.22820000000000001,0.2791,0.35969999999999996,0.462,0.5523,0.6291,0.6984,0.7311,0.746,0.7548,0.759,0.7617,0.7639,0.7666,0.7733,0.7809,0.8001999999999999,0.82,0.8271999999999999,0.8301000000000001,0.8309000000000001,0.8312,0.8314,0.8315,0.8317
North America / USA / Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050300000000000004,0.0859,0.1116,0.1315,0.1883,0.257,0.32439999999999997,0.35369999999999996,0.37420000000000003,0.39049999999999996,0.4131,0.4252,0.4404,0.4508,0.4722,0.4989,0.5196666666666667,0.5397,0.5509000000000001,0.5603,0.569,0.5757,0.5893272727272727,0.5995,0.606725,0.6174000000000001,0.6334000000000001,0.6386,0.6418333333333334,0.6448999999999999,0.6473,0.6494
Asia / India / Karnataka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0042,0.0073,0.0124,0.027000000000000003,0.0493,0.0771,0.0909,0.1017,0.1188,0.1454,0.1887,0.2182,0.24530000000000002,0.284,0.32380000000000003,0.377,0.4322,0.47350000000000003,0.49920000000000003,0.5264,0.5402,0.5631,0.5861,0.6009,0.636,0.6674,0.6827,0.6908,0.6942,0.6972,0.7108333333333334
North America / USA / Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547,0.08810000000000001,0.1298,0.1679,0.2182,0.2736,0.332,0.3663,0.3923,0.4175,0.4304,0.4436,0.4579,0.4672,0.4803,0.493,0.5058666666666666,0.516,0.5241,0.5311,0.5377000000000001,0.5461,0.55616,0.5678,0.5769,0.5847,0.5962,0.6014,0.6051666666666666,0.6078,0.6096,0.6112
Asia / Japan / Kanagawa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667e-05,0.0005333333333333334,0.004733333333333333,0.007466666666666667,0.009899999999999999,0.0269,0.043899999999999995,0.0951,0.17190000000000003,0.2473,0.3259,0.38409999999999994,0.47005,0.5278,0.592325,0.66535,0.7162999999999999,0.7565000000000001,0.7781999999999999,0.7873,0.7912,0.7939,0.7957,0.8018538461538461,0.8039000000000001,0.8046,0.8061,0.8076000000000001,0.810225,0.8140999999999999
North America / USA / Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0969,0.1553,0.19219999999999998,0.2734,0.33630000000000004,0.396,0.5368999999999999,0.6092,0.6647,0.6812,0.695,0.7041,0.7098,0.721,0.7338,0.7472666666666666,0.7613,0.7691,0.7775,0.7881999999999999,0.8029999999999999,0.81918,0.8348,0.83646,0.8368800000000001,0.8454,0.8541,0.8601666666666666,0.865,0.8684000000000001,0.8698999999999999
Europe / Italy / Lazio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0113,0.0226,0.024399999999999998,0.0374,0.0649,0.09140000000000001,0.1308,0.18350000000000002,0.2462,0.3207,0.38909999999999995,0.49060000000000004,0.5579,0.5971,0.6225,0.6598,0.6893,0.7169,0.7349,0.7531,0.7668,0.7731999999999999,0.7770999999999999,0.782,0.7897,0.7976000000000001,0.8106,0.8262999999999999,0.8345999999999999,0.8379000000000001,0.8392000000000001,0.84,0.8404
