,2019-12-01,2019-12-15,2019-12-29,2020-01-12,2020-01-26,2020-02-09,2020-02-23,2020-03-08,2020-03-22,2020-04-05,2020-04-19,2020-05-03,2020-05-17,2020-05-31,2020-06-14,2020-06-28,2020-07-12,2020-07-26,2020-08-09,2020-08-23,2020-09-06,2020-09-20,2020-10-04,2020-10-18,2020-11-01,2020-11-15,2020-11-29,2020-12-13,2020-12-27,2021-01-10,2021-01-24,2021-02-07,2021-02-21,2021-03-07,2021-03-21,2021-04-04,2021-04-18,2021-05-02,2021-05-16,2021-05-30,2021-06-13,2021-06-27,2021-07-11,2021-07-25,2021-08-08,2021-08-22,2021-09-05,2021-09-19,2021-10-03,2021-10-17,2021-10-31,2021-11-14,2021-11-28,2021-12-12,2021-12-26,2022-01-09,2022-01-23,2022-02-06,2022-02-20,2022-03-06,2022-03-20,2022-04-03
Europe / Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0073,0.023399999999999997,0.0316,0.045599999999999995,0.0768,0.0943,0.1335,0.1935,0.25239999999999996,0.3186,0.38189999999999996,0.4476,0.5205,0.6112,0.6781,0.7221,0.8122,0.8632,0.8739666666666668,0.8818714285714285,0.8852571428571429,0.8880142857142856,0.8902142857142857,0.8987200000000001,0.9044142857142857,0.9169,0.9339857142857143,0.9434428571428571,0.9473285714285714,0.9495285714285714,0.9504,0.9504,0.9504
Europe / Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0216,0.031200000000000002,0.0383,0.0582,0.0915,0.1374,0.2053,0.2713,0.3419,0.4032,0.49329999999999996,0.6062,0.6587999999999999,0.6851999999999999,0.7104,0.7232,0.7321,0.7383,0.7443000000000001,0.7486,0.7532,0.7576,0.7623000000000001,0.7651,0.7674,0.7706000000000001,0.7831,0.7895,0.7922,0.7931999999999999,0.7936,0.7938
Asia / Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667e-05,0.0005333333333333334,0.004733333333333333,0.007466666666666667,0.009899999999999999,0.0269,0.043899999999999995,0.0951,0.17190000000000003,0.2473,0.3259,0.38409999999999994,0.47005,0.5278,0.592325,0.66535,0.7162999999999999,0.7565000000000001,0.7781999999999999,0.7873,0.7912,0.7939,0.7957,0.8018538461538461,0.8039000000000001,0.8046,0.8061,0.8076000000000001,0.810225,0.8140999999999999
Asia / Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.013300000000000001,0.038,0.0444,0.0674,0.133,0.1929,0.245,0.3012,0.35109999999999997,0.40759999999999996,0.48109999999999997,0.5861,0.7281,0.7781,0.8028,0.8231999999999999,0.8334999999999999,0.8408,0.8465,0.853,0.857,0.8606,0.8636,0.866,0.8676,0.8826999999999999,0.8986,0.9062,0.9117000000000001,0.9151,0.9168000000000001,0.9178000000000001
Europe / Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.008100000000000001,0.0195,0.0279,0.04,0.0632,0.092,0.1274,0.1993,0.2848,0.3734,0.43320000000000003,0.48950000000000005,0.5471,0.5936,0.6167,0.6314,0.6476000000000001,0.6640999999999999,0.6770999999999999,0.6867,0.6933,0.6989,0.7051999999999999,0.7178,0.7312000000000001,0.743,0.7502,0.758,0.7626000000000001,0.7648,0.7662,0.7673000000000001,0.768
Europe / Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005600000000000001,0.0208,0.0323,0.0535,0.09050000000000001,0.1355,0.1791,0.24609999999999999,0.3161,0.3829,0.4451,0.5168,0.5820000000000001,0.6289,0.6559999999999999,0.6795,0.7132,0.7315,0.7404000000000001,0.7473000000000001,0.7548999999999999,0.7629,0.768,0.7705844827586207,0.770753448275862,0.7709224137931034,0.7710913793103448,0.7728,0.7993999999999999,0.803644,0.8037000000000001,0.8114571428571429,0.8122428571428572
Europe / Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0147,0.026000000000000002,0.0274,0.046799999999999994,0.0711,0.0913,0.13949999999999999,0.1813,0.20829999999999999,0.271,0.3226,0.3782,0.40009999999999996,0.4165,0.4425,0.4637,0.4805,0.4982,0.5418999999999999,0.5618,0.5671,0.5720000000000001,0.5816,0.5917,0.5959,0.6004999999999999,0.6032,0.606,0.6071,0.6079,0.6081,0.6083,0.6084
Asia / South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.013999999999999999,0.0196,0.0308,0.0676,0.0746,0.1076,0.2332,0.3007,0.307,0.33299999999999996,0.4119,0.5092,0.589,0.7151000000000001,0.7776000000000001,0.7908,0.8049,0.8206,0.8309000000000001,0.8392000000000001,0.858,0.8665,0.8702,0.872,0.8739,0.875,0.8759999999999999,0.8768
Asia / Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04190000000000001,0.2077,0.2851,0.37729999999999997,0.4704,0.5336,0.5593,0.569,0.5779,0.5841,0.5872999999999999,0.5895,0.5929,0.6009,0.6203,0.6238,0.6291,0.6386,0.6511,0.6563,0.6639,0.6707,0.6737000000000001,0.6757,0.6819,0.6915,0.7026,0.7148,0.7202,0.721,0.7212999999999999,0.7214,0.7215,0.7217
Europe / Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0092,0.0098,0.016,0.0351,0.0458,0.0679,0.1017,0.1472,0.2167,0.2687,0.3061,0.3271,0.35729999999999995,0.3831,0.4056,0.4279,0.4481,0.46630000000000005,0.4959,0.552,0.6222,0.6618999999999999,0.6815000000000001,0.693,0.7011,0.7077,0.7139,0.7171,0.7182,0.7188,0.7193999999999999,0.7198
