,2019-12-01,2019-12-15,2019-12-29,2020-01-12,2020-01-26,2020-02-09,2020-02-23,2020-03-08,2020-03-22,2020-04-05,2020-04-19,2020-05-03,2020-05-17,2020-05-31,2020-06-14,2020-06-28,2020-07-12,2020-07-26,2020-08-09,2020-08-23,2020-09-06,2020-09-20,2020-10-04,2020-10-18,2020-11-01,2020-11-15,2020-11-29,2020-12-13,2020-12-27,2021-01-10,2021-01-24,2021-02-07,2021-02-21,2021-03-07,2021-03-21,2021-04-04,2021-04-18,2021-05-02,2021-05-16,2021-05-30,2021-06-13,2021-06-27,2021-07-11,2021-07-25,2021-08-08,2021-08-22,2021-09-05,2021-09-19,2021-10-03,2021-10-17,2021-10-31,2021-11-14,2021-11-28,2021-12-12,2021-12-26,2022-01-09,2022-01-23,2022-02-06,2022-02-20,2022-03-06,2022-03-20,2022-04-03
Europe / Germany / Saxony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0126,0.0217,0.030699999999999998,0.0409,0.054000000000000006,0.0662,0.0802,0.1137,0.1789,0.2676,0.3586,0.4313,0.5012,0.5563,0.5971,0.6196,0.6378,0.6535,0.6642,0.6735,0.6819,0.6916,0.7028,0.7155,0.7264,0.7413,0.7515999999999999,0.7584000000000001,0.7624,0.7646,0.7662
Asia / Japan / Osaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0017666666666666666,0.005699999999999999,0.0083,0.015600000000000001,0.03,0.0593,0.1235,0.1968,0.2647,0.339975,0.4108,0.47887500000000005,0.54295,0.6122,0.6731999999999999,0.7238,0.7547,0.7709999999999999,0.7779,0.781725,0.7882384615384616,0.7906,0.7925,0.7942,0.7959999999999999,0.79725,0.7992
Europe / Sweden / Skane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.008,0.0226,0.031400000000000004,0.04019999999999999,0.053399999999999996,0.0689,0.0753,0.1011,0.1497,0.22640000000000002,0.3069,0.3594,0.3953,0.45,0.524,0.5915,0.6303,0.654,0.6674,0.6769,0.6853,0.6993,0.7132999999999999,0.7221,0.7265,0.7361,0.7408,0.7445999999999999,0.7468,0.7482,0.7490000000000001
Europe / Germany / Saxony Anhalt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0126,0.0217,0.030699999999999998,0.0409,0.054000000000000006,0.0662,0.0802,0.1137,0.1789,0.2676,0.3586,0.4313,0.5012,0.5563,0.5971,0.6196,0.6378,0.6535,0.6642,0.6735,0.6819,0.6916,0.7028,0.7155,0.7264,0.7413,0.7515999999999999,0.7584000000000001,0.7624,0.7646,0.7662
Europe / France / Grand Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0176,0.028999999999999998,0.0365,0.0466,0.0675,0.0981,0.1335,0.1641,0.21489999999999998,0.2914,0.3764,0.4537,0.5028,0.5573,0.6154999999999999,0.6454000000000001,0.6634,0.6748000000000001,0.6827,0.6896,0.6984,0.7132999999999999,0.7298,0.7451000000000001,0.7592,0.7693000000000001,0.7765000000000001,0.7794,0.7805,0.7811
North America / USA / Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0318,0.0582,0.0862,0.1485,0.2376,0.3161,0.37770000000000004,0.46380000000000005,0.5154,0.5513,0.5834,0.599,0.6101,0.6212,0.6374,0.6536000000000001,0.6696,0.6859999999999999,0.6988,0.7093,0.7170000000000001,0.7242,0.7482,0.7605999999999999,0.7720999999999999,0.7837000000000001,0.7944,0.8037,0.8088,0.813,0.8168000000000001
North America / USA / Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.036000000000000004,0.06405,0.09029999999999999,0.1335,0.1821,0.233,0.2664,0.29510000000000003,0.3122,0.32549999999999996,0.3432,0.3579,0.3657,0.37560000000000004,0.3986,0.42383333333333334,0.4436,0.4571,0.4675,0.4771,0.4829,0.48828,0.4954,0.5012,0.507,0.5151,0.5206000000000001,0.5241666666666667,0.5268,0.5302,0.5322
North America / USA / Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0275,0.056799999999999996,0.0964,0.1383,0.19879999999999998,0.2758,0.3245,0.3619,0.38409999999999994,0.4033,0.4302,0.4439,0.4521,0.462,0.4756,0.487903448275862,0.49246551724137927,0.4970275862068965,0.5015896551724137,0.5072,0.5146999999999999,0.52052,0.5338,0.540575,0.5462,0.5542,0.5586,0.5630999999999999,0.5656,0.5685,0.5705
North America / USA / North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.025,0.06475,0.0941,0.1369,0.1802,0.2473,0.30219999999999997,0.3407,0.3608,0.37629999999999997,0.39159999999999995,0.4257,0.43439999999999995,0.4426,0.4537,0.4696666666666667,0.4868,0.5008,0.5171,0.5267000000000001,0.5347999999999999,0.5405,0.555,0.565625,0.5722999999999999,0.581,0.5871,0.5915333333333334,0.5949,0.5972999999999999,0.6003000000000001
North America / USA / Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060999999999999995,0.0176,0.044800000000000006,0.083,0.11560000000000001,0.1448,0.1924,0.2377,0.2755,0.2921,0.3041,0.3231,0.3331,0.3404,0.34840000000000004,0.36340000000000006,0.39166666666666666,0.4127,0.4289,0.4396,0.44780000000000003,0.4545,0.46108000000000005,0.4686,0.47452500000000003,0.4804,0.4919,0.4965,0.5007,0.5035000000000001,0.5056,0.507
Europe / Spain / Castilla Y Leon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0168,0.0256,0.0296,0.044,0.060899999999999996,0.07239999999999999,0.1094,0.1543,0.1973,0.2741,0.3553,0.4661,0.555,0.6115999999999999,0.6727,0.7331,0.772,0.7861,0.7931,0.7985333333333333,0.8017,0.8040999999999999,0.807,0.8098000000000001,0.8146,0.8181,0.8199,0.8312,0.8433142857142857,0.8569142857142856,0.8615285714285714
Europe / Germany / Rhineland Palatinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0126,0.0217,0.030699999999999998,0.0409,0.054000000000000006,0.0662,0.0802,0.1137,0.1789,0.2676,0.3586,0.4313,0.5012,0.5563,0.5971,0.6196,0.6378,0.6535,0.6642,0.6735,0.6819,0.6916,0.7028,0.7155,0.7264,0.7413,0.7515999999999999,0.7584000000000001,0.7624,0.7646,0.7662
North America / USA / North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020499999999999997,0.049400000000000006,0.08215,0.1189,0.168,0.22899999999999998,0.2956,0.3319,0.3521,0.36590000000000006,0.37579999999999997,0.3871,0.39390000000000003,0.39899999999999997,0.4042,0.4115,0.4212,0.43329999999999996,0.4451,0.4543,0.45899999999999996,0.4817,0.4868,0.5154,0.5235500000000001,0.5301,0.5379,0.5409,0.5435,0.545,0.5458,0.5465
North America / USA / Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0256,0.0682,0.1114,0.1477,0.2052,0.2414,0.2805,0.3036,0.3182,0.3301,0.3411,0.35710000000000003,0.3635,0.3699,0.3791,0.3932,0.40630000000000005,0.41659999999999997,0.4301,0.4389,0.44789999999999996,0.45484,0.4642,0.473125,0.479,0.496,0.5001,0.5045333333333334,0.5072,0.5091,0.511
North America / Mexico / Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0006,0.0034999999999999996,0.0046,0.0055000000000000005,0.0085,0.0301,0.059800000000000006,0.0814,0.0951,0.11560000000000001,0.14550000000000002,0.1594,0.1839,0.20829999999999999,0.23739999999999997,0.2735,0.3201,0.35259999999999997,0.3898,0.465,0.4864,0.4984,0.5078,0.5583,0.5685,0.5874,0.5957,0.6039,0.6073,0.6106,0.6124333333333334
Europe / France / Hauts De France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0176,0.028999999999999998,0.0365,0.0466,0.0675,0.0981,0.1335,0.1641,0.21489999999999998,0.2914,0.3764,0.4537,0.5028,0.5573,0.6154999999999999,0.6454000000000001,0.6634,0.6748000000000001,0.6827,0.6896,0.6984,0.7132999999999999,0.7298,0.7451000000000001,0.7592,0.7693000000000001,0.7765000000000001,0.7794,0.7805,0.7811
Asia / Japan / Fukuoka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0017666666666666666,0.005699999999999999,0.0083,0.015600000000000001,0.03,0.0593,0.1235,0.1968,0.2647,0.339975,0.4108,0.47887500000000005,0.54295,0.6122,0.6731999999999999,0.7238,0.7547,0.7709999999999999,0.7779,0.781725,0.7882384615384616,0.7906,0.7925,0.7942,0.7959999999999999,0.79725,0.7992
Europe / Denmark / Midtjylland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0217,0.0273,0.0319,0.0501,0.06509999999999999,0.08109999999999999,0.109,0.1723,0.2087,0.25120000000000003,0.3118,0.3979,0.5051,0.5935,0.6876000000000001,0.7259,0.7402,0.7483,0.7539,0.7578,0.7617,0.7665000000000001,0.775,0.7834,0.8055,0.8177,0.8219,0.8234,0.8242,0.8245999999999999,0.8249
North America / USA / Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,0.0341,0.060200000000000004,0.1003,0.1502,0.2041,0.2753,0.3348,0.3909,0.4214,0.4422,0.47090000000000004,0.4817,0.4919,0.4993,0.5111,0.5254333333333333,0.5367000000000001,0.5477000000000001,0.5557,0.5624,0.568,0.5720000000000001,0.5867,0.5952000000000001,0.6036,0.6124,0.6182,0.623,0.626,0.6281,0.632
Europe / Denmark / Syddanmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0217,0.0273,0.0319,0.0501,0.06509999999999999,0.08109999999999999,0.109,0.1723,0.2087,0.25120000000000003,0.3118,0.3979,0.5051,0.5935,0.6876000000000001,0.7259,0.7402,0.7483,0.7539,0.7578,0.7617,0.7665000000000001,0.775,0.7834,0.8055,0.8177,0.8219,0.8234,0.8242,0.8245999999999999,0.8249
North America / USA / Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005600000000000001,0.019799999999999998,0.05595,0.0842,0.10880000000000001,0.1313,0.19079999999999997,0.25429999999999997,0.2916,0.31079999999999997,0.3385,0.35450000000000004,0.3714,0.3804,0.3906,0.4043,0.4209333333333334,0.4407,0.4572,0.47130000000000005,0.4819,0.488,0.4934909090909091,0.49950000000000006,0.5065,0.5141,0.525,0.5309,0.5344666666666666,0.5378000000000001,0.5405,0.5427000000000001
Asia / India / Karnataka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007000000000000001,0.0027,0.0054,0.0075,0.0118,0.0197,0.0291,0.030899999999999997,0.0336,0.039599999999999996,0.0526,0.067,0.08109999999999999,0.09300000000000001,0.1142,0.1454,0.17679999999999998,0.20149999999999998,0.23620000000000002,0.2657,0.3147,0.36939999999999995,0.4144,0.4532,0.49119999999999997,0.5243,0.5547,0.575,0.5881000000000001,0.5978666666666667
North America / USA / Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0232,0.0584,0.1035,0.1421,0.1832,0.2279,0.2773,0.3245,0.3542,0.3732,0.39640000000000003,0.43090000000000006,0.4393,0.44670000000000004,0.4561,0.4665666666666667,0.4768,0.4857,0.493,0.4987,0.5023,0.5056200000000001,0.5136,0.51875,0.5233,0.5296,0.5343,0.5388666666666666,0.5417000000000001,0.5438000000000001,0.5455
Asia / Japan / Kanagawa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0017666666666666666,0.005699999999999999,0.0083,0.015600000000000001,0.03,0.0593,0.1235,0.1968,0.2647,0.339975,0.4108,0.47887500000000005,0.54295,0.6122,0.6731999999999999,0.7238,0.7547,0.7709999999999999,0.7779,0.781725,0.7882384615384616,0.7906,0.7925,0.7942,0.7959999999999999,0.79725,0.7992
North America / USA / Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011899999999999999,0.0286,0.0726,0.1177,0.1635,0.2095,0.284,0.3657,0.4313,0.47600000000000003,0.4911,0.5156000000000001,0.5263,0.5326,0.539,0.5466,0.5573333333333333,0.5697249999999999,0.5811999999999999,0.5901,0.5981000000000001,0.6036,0.6086,0.6235,0.6729200000000001,0.72906,0.7558,0.7628,0.7696666666666666,0.7743000000000001,0.7766,0.778
Europe / Italy / Lazio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0196,0.0227,0.0281,0.0421,0.0584,0.0755,0.1052,0.1454,0.2,0.23579999999999998,0.2984,0.38530000000000003,0.488,0.5578,0.5861,0.622,0.6576000000000001,0.6839,0.701,0.7147,0.7245,0.7299,0.7343000000000001,0.7389,0.7464,0.7567,0.7704000000000001,0.7823,0.7886,0.7912,0.7925
Europe / Spain / Catalunya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0168,0.0256,0.0296,0.044,0.060899999999999996,0.07239999999999999,0.1094,0.1543,0.1973,0.2741,0.3553,0.4661,0.555,0.6115999999999999,0.6727,0.7331,0.772,0.7861,0.7931,0.7985333333333333,0.8017,0.8040999999999999,0.807,0.8098000000000001,0.8146,0.8181,0.8199,0.8312,0.8433142857142857,0.8569142857142856,0.8615285714285714
