,Region,Raw Counts,Filtered Counts,Effective Population Size
85,North America / USA / Illinois,64563.0,64517,110.24954986572266
86,Asia / Japan / Hyogo,12967.0,6798,37.0381965637207
87,Oceania / Australia / New South Wales,24145.0,21961,25.577503204345703
88,Europe / Germany / Schleswig Holstein,19601.0,17942,69.92823028564453
89,Europe / Sweden / Stockholm,36326.0,35446,93.7662353515625
90,North America / USA / Texas,179822.0,179814,150.8784637451172
91,Europe / Sweden / Vastra Gotaland,18465.0,16401,51.88121032714844
92,Europe / Netherlands / Zuid Holland,18242.0,17477,68.3587646484375
93,Europe / Ireland / Dublin,16931.0,16109,64.44801330566406
94,Europe / Germany / Bavaria,56795.0,56088,79.11296844482422
95,Europe / Germany / North Rhine Westphalia,116236.0,114364,147.40567016601562
96,Europe / Netherlands / Limburg,11068.0,10789,53.99350357055664
97,Europe / Netherlands / Noord Brabant,14958.0,14022,58.5748405456543
98,North America / Canada / Quebec,36855.0,36850,42.40633010864258
99,Europe / Finland / Uusimaa,13022.0,10748,40.3397216796875
100,Europe / Netherlands / Noord Holland,13277.0,12893,61.029693603515625
101,Europe / Netherlands / Gelderland,12955.0,12351,59.44476318359375
102,Europe / Netherlands / Utrecht,10876.0,10517,55.82295608520508
103,North America / USA / Minnesota,106425.0,104943,136.9287109375
104,Europe / Denmark / Hovedstaden,175112.0,174240,91.98197937011719
105,Europe / France / Ile De France,37591.0,36231,92.88871765136719
106,Europe / Denmark / Sjaelland,56097.0,55845,75.74471282958984
107,Europe / Denmark / Nordjylland,38682.0,38460,61.61268997192383
108,Europe / Germany / Hamburg,21747.0,19962,59.15510177612305
109,North America / USA / New York,140232.0,136337,130.4299774169922
110,Asia / India / Telangana,10844.0,9522,55.975128173828125
111,Oceania / Australia / Queensland,10753.0,9707,70.21650695800781
112,Europe / Belgium / Ghent,10095.0,9700,41.909996032714844
113,North America / USA / West Virginia,17334.0,17274,103.86738586425781
114,North America / Canada / Ontario,64419.0,36277,25.576282501220703
115,Europe / France / Nouvelle Aquitaine,21709.0,21438,42.500614166259766
116,North America / USA / Utah,80841.0,76120,154.68142700195312
117,Europe / France / Auvergne Rhone Alpes,42853.0,42110,86.31867980957031
118,North America / USA / Florida,132309.0,132287,80.06946563720703
119,North America / USA / Ohio,41591.0,40670,167.88047790527344
120,Europe / Switzerland / Basel Landschaft,11881.0,6588,22.25707244873047
121,North America / Canada / Alberta,37606.0,35828,42.286190032958984
122,Europe / Norway / Viken,17820.0,17296,29.18168830871582
123,Oceania / Australia / Victoria,27081.0,16390,106.7832260131836
124,Europe / United Kingdom / Scotland,246564.0,241065,99.56346893310547
125,North America / USA / California,477288.0,477275,140.90133666992188
126,Europe / United Kingdom / Wales,182303.0,176578,92.76036071777344
127,Europe / United Kingdom / England,1721377.0,1721335,239.40223693847656
