,Region,Raw Counts,Filtered Counts,Effective Population Size
0,Europe / Luxembourg,22508.0,22088,52.41590118408203
1,Europe / Portugal,29313.0,27052,54.947357177734375
2,Europe / Belgium,11150.0,10368,59.72142028808594
3,Asia / Japan,14251.0,13252,25.4918155670166
4,Asia / Singapore,13434.0,11554,38.26018142700195
5,Europe / Germany,19636.0,19337,230.67430114746094
6,Europe / Finland,14489.0,14416,32.44655227661133
7,Europe / Slovenia,30151.0,29602,64.96612548828125
8,Asia / South Korea,28916.0,28655,82.11368560791016
9,Asia / Israel,45954.0,41097,72.30574798583984
10,Europe / Latvia,13170.0,12470,30.839628219604492
11,Europe / Turkey,60669.0,56514,49.97590255737305
12,Europe / Lithuania / Vilniaus,11347.0,10199,78.06282806396484
13,North America / USA / Montana,13840.0,13681,73.2536849975586
14,Europe / Germany / Saxony,40740.0,40666,141.3297882080078
15,Asia / Japan / Osaka,21204.0,14531,30.927364349365234
16,Europe / Sweden / Skane,26872.0,26749,40.10209274291992
17,Europe / Germany / Saxony Anhalt,11706.0,7713,47.938209533691406
18,Europe / France / Grand Est,14437.0,14255,47.156436920166016
19,North America / USA / Rhode Island,14387.0,14159,50.23359680175781
20,North America / USA / Louisiana,24383.0,22172,48.19377136230469
21,North America / USA / Kentucky,19985.0,19735,103.42681121826172
22,North America / USA / North Carolina,65548.0,64968,134.0321502685547
23,North America / USA / Alabama,13643.0,13413,80.72908782958984
24,Europe / Spain / Castilla Y Leon,20570.0,20065,38.445987701416016
25,Europe / Germany / Rhineland Palatinate,18715.0,18675,47.60682678222656
26,North America / USA / North Dakota,12462.0,11210,71.2249755859375
27,North America / USA / Wyoming,29424.0,28919,74.5716781616211
28,North America / Mexico / Mexico,12227.0,11124,59.49428176879883
29,Europe / France / Hauts De France,15960.0,15715,56.703773498535156
30,Asia / Japan / Fukuoka,15152.0,10930,20.013601303100586
31,Europe / Denmark / Midtjylland,82234.0,82167,60.007232666015625
32,North America / USA / Nebraska,17321.0,16559,79.74639892578125
33,Europe / Denmark / Syddanmark,77190.0,76982,80.75094604492188
34,North America / USA / Georgia,48639.0,48016,128.1925048828125
35,Asia / India / Karnataka,16020.0,15457,56.21342468261719
36,North America / USA / Indiana,34013.0,33602,157.66700744628906
37,Asia / Japan / Kanagawa,11836.0,10546,43.12356185913086
38,North America / USA / Hawaii,10348.0,9787,45.35447311401367
39,Europe / Italy / Lazio,11918.0,11164,40.75730895996094
40,Europe / Spain / Catalunya,28673.0,27745,55.5302848815918
41,North America / USA / Vermont,17569.0,16237,55.97181701660156
42,North America / USA / Kansas,17091.0,16121,87.2624282836914
43,Europe / France / Occitanie,16073.0,11598,63.79732131958008
44,Europe / Switzerland / Geneva,12952.0,12517,45.86542510986328
45,Europe / Switzerland / Zurich,16588.0,10506,58.92190170288086
46,South America / Brazil / Rio De Janeiro,13150.0,12163,88.72811126708984
47,North America / USA / New Jersey,54349.0,53731,101.39947509765625
48,North America / USA / Alaska,10618.0,10170,49.97826385498047
49,Europe / Germany / Lower Saxony,12692.0,12588,50.80585861206055
50,Asia / India / Maharashtra,19130.0,17612,58.137245178222656
51,North America / USA / Virginia,43617.0,43608,74.56836700439453
52,North America / USA / New Mexico,22845.0,21527,91.5955810546875
53,Europe / Germany / Baden Wurttemberg,88575.0,88158,146.7445831298828
54,Europe / Switzerland / Bern,15890.0,12562,63.609737396240234
55,Europe / Germany / Hesse,14421.0,14217,52.50857925415039
56,North America / USA / Wisconsin,50524.0,49692,108.64407348632812
57,North America / USA / Massachusetts,133818.0,132686,128.7510528564453
58,North America / USA / Arkansas,12974.0,12491,43.479644775390625
59,North America / USA / Maryland,48447.0,46665,99.14409637451172
60,Asia / Japan / Saitama,15856.0,10997,30.150428771972656
61,North America / USA / Colorado,172317.0,172306,131.9059600830078
62,North America / Canada / Saskatchewan,19674.0,19225,49.24186706542969
63,North America / USA / Idaho,21180.0,20850,70.75318145751953
64,North America / USA / Oregon,36033.0,34458,94.82664489746094
65,North America / USA / Michigan,70322.0,66930,143.71083068847656
66,North America / USA / Connecticut,33187.0,32481,64.04907989501953
67,North America / USA / Washington,87015.0,87008,79.50157928466797
68,Europe / Italy / Campania,27781.0,26872,46.88622283935547
69,North America / Canada / British Columbia,110144.0,109501,74.6434326171875
70,Europe / Norway / Oslo,12936.0,12403,33.216224670410156
71,Europe / Spain / Madrid,11480.0,10867,47.61943435668945
72,Europe / France / Provence Alpes Cote D Azur,38206.0,35783,42.30063247680664
73,Europe / Germany / Berlin,16677.0,16282,45.77709197998047
74,Asia / Japan / Tokyo,49543.0,29498,59.8846435546875
75,North America / USA / Arizona,73705.0,73701,94.43863677978516
76,North America / USA / Maine,15066.0,14687,42.731597900390625
77,North America / USA / Delaware,11550.0,9082,63.025665283203125
78,North America / USA / Tennessee,45175.0,44716,107.99579620361328
79,North America / USA / Pennsylvania,47876.0,47184,176.107177734375
80,North America / USA / South Carolina,17378.0,16525,125.24018859863281
81,North America / USA / Missouri,22961.0,22164,112.24655151367188
82,South America / Brazil / Sao Paulo,55166.0,53928,123.76748657226562
83,North America / USA / Nevada,30092.0,29182,99.07086944580078
84,North America / USA / Iowa,13226.0,12665,130.20098876953125
