,Region,Raw Counts,Filtered Counts,Effective Population Size
0,Europe / Luxembourg,20668.0,20203.0,55.67695236206055
1,Europe / Portugal,24791.0,18886.0,71.46625518798828
2,Europe / Germany,19632.0,19274.0,302.1487731933594
3,Europe / Turkey,62080.0,57235.0,69.15859985351562
4,Europe / Slovenia,23812.0,23196.0,74.72784423828125
5,Asia / Israel,27841.0,20897.0,101.28240966796875
6,Asia / South Korea,22561.0,20832.0,93.36190032958984
7,Asia / Japan / Osaka,15139.0,14024.0,40.410160064697266
8,Europe / Germany / Saxony,28489.0,28422.0,179.9392547607422
9,Asia / India / Maharashtra,15202.0,13688.0,50.53352737426758
10,North America / Canada / Saskatchewan,16707.0,16258.0,55.71910858154297
11,North America / USA / Washington,71639.0,65584.0,112.01315307617188
12,North America / Canada / British Columbia,85920.0,85223.0,71.64537811279297
13,Europe / Spain / Castilla Y Leon,17616.0,17042.0,44.82761764526367
14,Europe / Sweden / Skane,21787.0,21664.0,42.65434646606445
15,Europe / Denmark / Syddanmark,45060.0,44774.0,41.59015655517578
16,Europe / Denmark / Midtjylland,52274.0,52206.0,36.069862365722656
17,Asia / Japan / Tokyo,30704.0,29047.0,69.48798370361328
18,North America / USA / Kentucky,16878.0,16341.0,133.9542999267578
19,North America / USA / New Mexico,22033.0,20379.0,86.84215545654297
20,North America / USA / Connecticut,25587.0,24827.0,74.0524673461914
21,North America / USA / New Jersey,43261.0,42579.0,128.46139526367188
22,North America / USA / Michigan,59760.0,25915.0,61.71931457519531
23,North America / USA / Massachusetts,100839.0,98905.0,176.5508575439453
24,North America / USA / Louisiana,19364.0,16870.0,60.16366958618164
25,South America / Brazil / Sao Paulo,46297.0,45006.0,225.649169921875
26,North America / USA / Nevada,25319.0,24421.0,110.17671203613281
27,North America / USA / Tennessee,26060.0,25306.0,129.56430053710938
28,North America / USA / Missouri,19365.0,18580.0,128.14859008789062
29,Europe / Italy / Campania,23944.0,22956.0,49.11231994628906
30,North America / USA / South Carolina,16055.0,15052.0,119.87750244140625
31,North America / USA / Arizona,61571.0,61566.0,96.12054443359375
32,North America / USA / Pennsylvania,42328.0,41643.0,209.4934844970703
33,North America / USA / Wyoming,24180.0,23743.0,76.16840362548828
34,Oceania / Australia / New South Wales,19689.0,17485.0,28.03546714782715
35,Europe / Sweden / Vastra Gotaland,16745.0,15749.0,59.57071304321289
36,Europe / Ireland / Dublin,15224.0,14425.0,70.68901062011719
37,North America / Canada / Quebec,32774.0,28029.0,61.6504020690918
38,North America / USA / Indiana,31072.0,30652.0,193.18980407714844
39,Europe / Sweden / Stockholm,33582.0,32628.0,114.68492126464844
40,Europe / Germany / Bavaria,39175.0,38426.0,91.30306243896484
41,Europe / Germany / North Rhine Westphalia,87704.0,84529.0,247.5326385498047
42,North America / USA / Maryland,41709.0,40063.0,119.10667419433594
43,North America / USA / Virginia,31398.0,29382.0,127.89214324951172
44,North America / USA / Oregon,29833.0,28251.0,107.81333923339844
45,Europe / Netherlands / Zuid Holland,15575.0,14360.0,88.71465301513672
46,Europe / France / Provence Alpes Cote D Azur,32780.0,7766.0,43.918983459472656
47,North America / USA / Colorado,124717.0,124707.0,145.5950469970703
48,Europe / Spain / Catalunya,24797.0,23816.0,73.42326354980469
49,North America / USA / Minnesota,92473.0,90595.0,176.55825805664062
50,Europe / Denmark / Hovedstaden,134035.0,133163.0,76.76466369628906
51,North America / USA / Wisconsin,44234.0,43150.0,131.80784606933594
52,Europe / France / Ile De France,29664.0,28289.0,109.06383514404297
53,Europe / Germany / Baden Wurttemberg,55431.0,54716.0,198.36642456054688
54,Europe / Denmark / Sjaelland,35568.0,35247.0,50.71165466308594
55,North America / USA / North Carolina,50955.0,50054.0,170.66136169433594
56,Europe / Denmark / Nordjylland,24296.0,23962.0,23.67772102355957
57,North America / USA / Illinois,55835.0,52220.0,178.65277099609375
58,Europe / Germany / Hamburg,16481.0,14696.0,71.2765884399414
59,North America / USA / New York,111977.0,107988.0,146.83050537109375
60,North America / USA / West Virginia,21008.0,14417.0,167.62034606933594
61,North America / Canada / Ontario,54503.0,36255.0,25.413389205932617
62,North America / USA / Utah,54225.0,49270.0,174.89581298828125
63,Europe / France / Auvergne Rhone Alpes,30203.0,28677.0,103.52175903320312
64,North America / USA / Ohio,35432.0,34517.0,185.16981506347656
65,North America / Canada / Alberta,32579.0,30701.0,43.477962493896484
66,Oceania / Australia / Victoria,24625.0,9325.0,179.5435791015625
67,Europe / United Kingdom / Scotland,140853.0,135421.0,117.29461669921875
68,North America / USA / Florida,112802.0,109802.0,121.60342407226562
69,North America / USA / Georgia,37791.0,37148.0,133.45945739746094
70,North America / USA / California,351784.0,351656.0,160.8751983642578
71,Europe / United Kingdom / Wales,136650.0,130926.0,107.07728576660156
72,North America / USA / Texas,141691.0,141684.0,168.3643035888672
73,Europe / United Kingdom / England,1177955.0,1177908.0,265.2348937988281
