VariantName,GrowthRate,GrowthRateStd,Rank
XCM,11.726573326425418,0.3672311212824773,1
HV.1.1,11.472450683948365,0.34765501189047676,2
JR.1.1,11.234498564879525,0.35131705857248047,3
HV.1.2,11.22999322289111,0.3465656327516617,4
HV.1,11.22838587682786,0.3461179152853814,5
HV.1.4,11.228345400757632,0.34616822322711965,6
HV.1.3,11.228267807919847,0.34621723287363565,7
HK.3.1,11.148902838246292,0.3514680421015092,8
HK.18,11.106680677464444,0.34641761202175364,9
JF.1,11.057859119340932,0.3488883001530105,10
JG.3.1,11.02916112752268,0.3496360039266958,11
JG.3,11.028565148967504,0.3493842377143435,12
HK.3.3,11.028560550852804,0.35069995911391505,13
JJ.1,11.028465115194072,0.3498009675993519,14
HK.1.2,11.025533685501102,0.34903150048077874,15
HK.2.1,11.025424055767676,0.3491128395198297,16
HK.11.1,11.02533271483876,0.34902836805179516,17
HK.3.4,11.025327610101558,0.3490787066737843,18
HK.3.5,11.025326411122233,0.3494919592551852,19
HK.3.2,11.025270597878691,0.3493222338209053,20
HK.14,11.025209795954495,0.34892376979994555,21
HK.3.6,11.025209795954495,0.34892376979994555,22
HK.13,11.025209795954495,0.34892376979994555,23
HK.13.1,11.025209795954495,0.34892376979994555,24
HK.3,11.025209795954495,0.34892376979994555,25
HK.8,11.025209795954495,0.34892376979994555,26
XDC,11.025144752450194,0.34894441361584744,27
HK.3.7,11.025127371792154,0.34899936419953764,28
HK.13.2,11.02504003896605,0.3496835160387907,29
EG.5.1.8,11.025014461486563,0.3489497862734706,30
GW.5.1.1,10.980719774975595,0.35204144136517523,31
GW.5.3.1,10.979939276904176,0.3522444466158857,32
GW.5.1,10.972343237168566,0.35045289282743186,33
GW.5.2,10.972034187378728,0.35041989002102664,34
GW.5.3,10.972031111121032,0.35041934870729846,35
GW.5,10.972031111121032,0.35041934870729846,36
XBB.2.3.18,10.959239580378457,0.34418512832693904,37
JD.1.2,10.94266830359536,0.3534228986068423,38
XCL,10.941023733625112,0.35371689890093977,39
GK.2.1.1,10.940919823776529,0.35418451678593743,40
JE.1.1,10.86623207449462,0.35296406764523847,41
FL.15.1.1,10.860369619927727,0.3514157784408245,42
JE.1,10.853574470266617,0.3492475448654321,43
XCR,10.852489248990716,0.3484560991328641,44
XCH.1,10.852486404459384,0.348411128631745,45
XCH,10.851898512107676,0.34839233879014886,46
XCS,10.851412190319673,0.34809233633987763,47
FL.15.1,10.849784399726635,0.34852629269691704,48
GK.12,10.840328526517943,0.35237728422520215,49
XCY,10.826470326296908,0.3508835417184418,50
JR.1,10.78162151841954,0.34645588434192787,51
GK.2.4,10.760781379993093,0.3567746682456922,52
GK.2.3,10.760781379993093,0.3567746682456922,53
FL.20.2,10.72944431639403,0.35611609137300815,54
XCZ,10.697102577883998,0.35514978142456755,55
HK.19,10.696040128094474,0.3468193864214253,56
EG.5.1.6,10.69405228516592,0.346726593909833,57
HK.12,10.691448372843151,0.3543604735868559,58
XCP,10.690768477241791,0.35855358499461726,59
GJ.1.2.2,10.675637257499872,0.34507843878580396,60
GK.1.2.1,10.668051842794048,0.3542390910900035,61
GK.1.8,10.666367307311296,0.3528539439039454,62
XCK,10.664969237931198,0.3498608646835861,63
GK.1.2,10.660546083135936,0.3511588963954682,64
GK.1.7,10.655770011842945,0.35063072963726793,65
GK.1.5,10.655770011842945,0.35063072963726793,66
XBB.1.16.14,10.655501676387216,0.34327993947414004,67
JD.1.1.3,10.65469854334922,0.3495918367349814,68
JD.1.1.1,10.654693204416816,0.3495947091959688,69
JD.1.1.2,10.65444029938701,0.34987978882169557,70
JD.1.1,10.654187653250943,0.349454464836416,71
GK.1.6.1,10.652392133145968,0.34993933087663537,72
GK.4,10.649316657072736,0.34925942044553565,73
GK.8.1,10.649295765923815,0.3493033143765011,74
GK.3.1,10.649057859267089,0.34964734254030727,75
JD.1,10.646444599342122,0.34743472094046335,76
GK.1.1.1,10.646259511350038,0.3476837050410405,77
GK.1.1,10.645245774854171,0.34747265091009943,78
GN.1.3,10.645014052555164,0.3474170657977472,79
GK.1.6,10.644684129441869,0.34759344009115395,80
GK.1.9,10.644657882502385,0.347468947633128,81
GK.1,10.644657882502385,0.347468947633128,82
GK.1.3,10.64445858107527,0.34753791210942675,83
GJ.1.2.1,10.644196436462408,0.3473447988829202,84
GK.3.2,10.643001751684384,0.3479868761271129,85
GK.5,10.642727584918685,0.34724881116347583,86
GK.5.1,10.642525018524005,0.34796451370495174,87
GK.2.1,10.642146614785384,0.34773693681181467,88
GK.6,10.641831272204374,0.34746802131169835,89
GK.10,10.641796992267508,0.34740919270234405,90
GK.7,10.641774906525338,0.3471243223417511,91
XBB.1.5.70,10.641698520365892,0.3470209791430112,92
GK.11,10.6416933413001,0.3470415165041388,93
GK.9,10.64168521178878,0.3472217243532262,94
GK.2,10.641680092952488,0.3471355462001133,95
GK.8,10.641640004872892,0.3471114737177819,96
GK.2.2,10.641612530341645,0.3473400821540171,97
GK.3,10.641373968479696,0.34763416482518533,98
JM.1,10.634168414171322,0.3615938873026438,99
HK.5,10.634003452751728,0.35314905133665714,100
HN.5,10.623290392659523,0.3482765575557967,101
XDA,10.620765731425804,0.3486307652691881,102
HN.3.1,10.613356385025794,0.34633542236993387,103
HN.4,10.610465121342742,0.34536486317697684,104
HN.3,10.609594169791633,0.3452536363975407,105
HN.2.1,10.609578289101949,0.3453222584802459,106
HN.2,10.609504334724985,0.345302379840565,107
HN.1,10.609483923545492,0.3452923611575029,108
FL.1.5.1,10.609468606759144,0.34521267725276583,109
HN.6,10.609393282792624,0.3452628441698045,110
JF.2,10.607888870400572,0.34558991740615563,111
XBB.1.16.6,10.604996409188972,0.3447823242639176,112
XBB.1.16.9,10.604993725082409,0.3447811454460234,113
EG.2.1,10.604630075470764,0.3454217471249974,114
GY.8,10.604048348656336,0.34493939402370233,115
JU.1,10.603338110720973,0.34366530625333896,116
XBB.2.3.17,10.60268199412914,0.3436658357463463,117
GJ.6,10.580381339165887,0.3410513099364201,118
JA.1,10.576288743955352,0.33978636108548205,119
HK.6,10.5756072528531,0.3451952123200737,120
EG.5.1.4,10.575413119413188,0.34500475738163006,121
HK.16,10.573302590537564,0.3449423657033879,122
FL.4.7,10.57313922414666,0.3452260336205974,123
FL.17.2,10.572793306869684,0.34526038012089083,124
HK.7,10.57267840526287,0.3446024708852881,125
HK.2,10.572561345616029,0.34469652313861726,126
HK.17,10.57247264883514,0.34456390509251544,127
HK.11,10.572470004686918,0.34462783620378223,128
JG.1,10.572453649044071,0.34466120884481355,129
JG.2,10.572427500230436,0.3445878927360953,130
HK.1,10.572375054794808,0.3445569123018585,131
EG.5.1.1,10.572347085802557,0.34451918841890344,132
HK.4,10.572341906736913,0.3445424905145864,133
HK.15,10.572335777203476,0.3446353941160026,134
EG.5.1.3,10.572246057919244,0.34455681342143846,135
JG.4,10.572246057919244,0.34455681342143846,136
HK.9,10.572224648229737,0.3447140322492848,137
EG.5.1.11,10.5722234571235,0.34455838837448516,138
EG.5.1.7,10.57215234949782,0.3445797619035952,139
EG.5.1,10.572151751334475,0.34454429137790266,140
EG.5.1.2,10.57206701250447,0.3445509381266989,141
EG.5.1.9,10.572011779827577,0.34498366929857166,142
EG.5.1.5,10.57200540420668,0.34496868671753567,143
EG.5.1.10,10.56024811014763,0.3466043313765552,144
XBB.1.48,10.532156145552594,0.34410106964999315,145
GW.1.1,10.522769150297194,0.34685016789258966,146
